NASA_Name,Canonical_Name,Canonical_Name_Status,ExoMAST_Query_Name
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343 b,exact,CFBDSIR J145829+101343 b
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 b,exact,CFHTWIR-Oph 98 b
CHXR 73 b,CHXR 73 b,exact,CHXR 73 b
CI Tau c,CI Tau c,exact,CI Tau c
COCONUTS-2 b,COCONUTS-2 b,exact,COCONUTS-2 b
CoRoT-1 b,CoRoT-1 b,exact,CoRoT-1 b
CoRoT-10 b,CoRoT-10 b,exact,CoRoT-10 b
CoRoT-11 b,CoRoT-11 b,exact,CoRoT-11 b
CoRoT-12 b,CoRoT-12 b,exact,CoRoT-12 b
CoRoT-13 b,CoRoT-13 b,exact,CoRoT-13 b
CoRoT-14 b,CoRoT-14 b,exact,CoRoT-14 b
CoRoT-16 b,CoRoT-16 b,exact,CoRoT-16 b
CoRoT-17 b,CoRoT-17 b,exact,CoRoT-17 b
CoRoT-18 b,CoRoT-18 b,exact,CoRoT-18 b
CoRoT-19 b,CoRoT-19 b,exact,CoRoT-19 b
CoRoT-2 b,CoRoT-2 b,exact,CoRoT-2 b
CoRoT-20 b,CoRoT-20 b,exact,CoRoT-20 b
CoRoT-20 c,CoRoT-20 c,exact,CoRoT-20 c
CoRoT-21 b,CoRoT-21 b,exact,CoRoT-21 b
CoRoT-22 b,CoRoT-22 b,exact,CoRoT-22 b
CoRoT-23 b,CoRoT-23 b,exact,CoRoT-23 b
CoRoT-24 b,CoRoT-24 b,exact,CoRoT-24 b
CoRoT-24 c,CoRoT-24 c,exact,CoRoT-24 c
CoRoT-25 b,CoRoT-25 b,exact,CoRoT-25 b
CoRoT-26 b,CoRoT-26 b,exact,CoRoT-26 b
CoRoT-27 b,CoRoT-27 b,exact,CoRoT-27 b
CoRoT-28 b,CoRoT-28 b,exact,CoRoT-28 b
CoRoT-29 b,CoRoT-29 b,exact,CoRoT-29 b
CoRoT-3 b,CoRoT-3 b,exact,CoRoT-3 b
CoRoT-30 b,CoRoT-30 b,exact,CoRoT-30 b
CoRoT-31 b,CoRoT-31 b,exact,CoRoT-31 b
CoRoT-32 b,CoRoT-32 b,exact,CoRoT-32 b
CoRoT-35 b,CoRoT-35 b,exact,CoRoT-35 b
CoRoT-36 b,CoRoT-36 b,exact,CoRoT-36 b
CoRoT-4 b,CoRoT-4 b,exact,CoRoT-4 b
CoRoT-5 b,CoRoT-5 b,exact,CoRoT-5 b
CoRoT-6 b,CoRoT-6 b,exact,CoRoT-6 b
CoRoT-7 b,CoRoT-7 b,exact,CoRoT-7 b
CoRoT-7 c,CoRoT-7 c,exact,CoRoT-7 c
CoRoT-7 d,CoRoT-7 d,exact,CoRoT-7 d
CoRoT-8 b,CoRoT-8 b,exact,CoRoT-8 b
CoRoT-9 b,CoRoT-9 b,exact,CoRoT-9 b
CT Cha b,CT Cha b,exact,CT Cha b
CWISEP J193518.59-154620.3 b,CWISEP J193518.59-154620.3 b,exact,CWISEP J193518.59-154620.3 b
DE CVn b,DE CVn b,exact,DE CVn b
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201 b,exact,DENIS-P J082303.1-491201 b
DH Tau b,DH Tau b,exact,DH Tau b
DMPP-1 b,DMPP-1 b,exact,DMPP-1 b
DMPP-1 c,DMPP-1 c,exact,DMPP-1 c
DMPP-1 d,DMPP-1 d,exact,DMPP-1 d
DMPP-1 e,DMPP-1 e,exact,DMPP-1 e
DMPP-2 b,DMPP-2 b,exact,DMPP-2 b
DMPP-2 c,DMPP-2 c,exact,DMPP-2 c
DMPP-2 d,DMPP-2 d,exact,DMPP-2 d
DMPP-3 A b,DMPP-3 A b,exact,DMPP-3 A b
DMPP-4 b,DMPP-4 b,exact,DMPP-4 b
DMPP-6 b,DMPP-6 b,exact,DMPP-6 b
DMPP-6 c,DMPP-6 c,exact,DMPP-6 c
DMPP-7 b,DMPP-7 b,exact,DMPP-7 b
DMPP-8 b,DMPP-8 b,exact,DMPP-8 b
DMPP-9 b,DMPP-9 b,exact,DMPP-9 b
DP Leo b,DP Leo b,exact,DP Leo b
DS Tuc A b,DS Tuc A b,exact,DS Tuc A b
EPIC 201170410.02,EPIC 201170410.02 b,resolved,EPIC 201170410.02
EPIC 201238110 b,EPIC 201238110 b,exact,EPIC 201238110 b
EPIC 201427007 b,EPIC 201427007 b,exact,EPIC 201427007 b
EPIC 201497682 b,EPIC 201497682 b,exact,EPIC 201497682 b
EPIC 201595106 b,EPIC 201595106 b,exact,EPIC 201595106 b
EPIC 201615463 c,EPIC 201615463 c,exact,EPIC 201615463 c
EPIC 201754305 d,EPIC 201754305 d,exact,EPIC 201754305 d
EPIC 201757695.02,EPIC 201757695.02 b,resolved,EPIC 201757695.02
EPIC 201833600 c,EPIC 201833600 c,exact,EPIC 201833600 c
EPIC 201841433 b,EPIC 201841433 b,exact,EPIC 201841433 b
EPIC 205950854 c,EPIC 205950854 c,exact,EPIC 205950854 c
EPIC 206024342 b,EPIC 206024342 b,exact,EPIC 206024342 b
EPIC 206024342 c,EPIC 206024342 c,exact,EPIC 206024342 c
EPIC 206024342 d,EPIC 206024342 d,exact,EPIC 206024342 d
EPIC 206032309 b,EPIC 206032309 b,exact,EPIC 206032309 b
EPIC 206042996 b,EPIC 206042996 b,exact,EPIC 206042996 b
EPIC 206042996 c,EPIC 206042996 c,exact,EPIC 206042996 c
EPIC 206215704 b,EPIC 206215704 b,exact,EPIC 206215704 b
EPIC 206317286 b,EPIC 206317286 b,exact,EPIC 206317286 b
EPIC 206317286 c,EPIC 206317286 c,exact,EPIC 206317286 c
EPIC 211822797 b,EPIC 211822797 b,exact,EPIC 211822797 b
EPIC 211945201 b,EPIC 211945201 b,exact,EPIC 211945201 b
EPIC 212297394 b,EPIC 212297394 b,exact,EPIC 212297394 b
EPIC 212297394 c,EPIC 212297394 c,exact,EPIC 212297394 c
EPIC 212424622 b,EPIC 212424622 b,exact,EPIC 212424622 b
EPIC 212499991 b,EPIC 212499991 b,exact,EPIC 212499991 b
EPIC 212587672 b,EPIC 212587672 b,exact,EPIC 212587672 b
EPIC 212587672 c,EPIC 212587672 c,exact,EPIC 212587672 c
EPIC 212624936 b,EPIC 212624936 b,exact,EPIC 212624936 b
EPIC 212624936 c,EPIC 212624936 c,exact,EPIC 212624936 c
EPIC 212737443 b,EPIC 212737443 b,exact,EPIC 212737443 b
EPIC 212737443 c,EPIC 212737443 c,exact,EPIC 212737443 c
EPIC 220492298 b,EPIC 220492298 b,exact,EPIC 220492298 b
