NASA_Name,Canonical_Name,Canonical_Name_Status,ExoMAST_Query_Name
HD 34445 e,HD 34445 e,exact,HD 34445 e
HD 34445 f,HD 34445 f,exact,HD 34445 f
HD 34445 g,HD 34445 g,exact,HD 34445 g
HD 35759 b,HD 35759 b,exact,HD 35759 b
HD 35843 b,HD 35843 b,exact,HD 35843 b
HD 35843 c,HD 35843 c,exact,HD 35843 c
HD 360 b,HD 360 b,exact,HD 360 b
HD 36384 b,HD 36384 b,exact,HD 36384 b
HD 3651 b,HD 3651 b,exact,HD 3651 b
HD 37124 b,HD 37124 b,exact,HD 37124 b
HD 37124 c,HD 37124 c,exact,HD 37124 c
HD 37124 d,HD 37124 d,exact,HD 37124 d
HD 37605 b,HD 37605 b,exact,HD 37605 b
HD 37605 c,HD 37605 c,exact,HD 37605 c
HD 3765 b,HD 3765 b,exact,HD 3765 b
HD 38283 b,HD 38283 b,exact,HD 38283 b
HD 38529 b,HD 38529 b,exact,HD 38529 b
HD 38529 c,HD 38529 c,exact,HD 38529 c
HD 38801 b,HD 38801 b,exact,HD 38801 b
HD 39091 b,HD 39091 b,exact,HD 39091 b
HD 39194 b,HD 39194 b,exact,HD 39194 b
HD 39194 c,HD 39194 c,exact,HD 39194 c
HD 39194 d,HD 39194 d,exact,HD 39194 d
HD 39855 b,HD 39855 b,exact,HD 39855 b
HD 40307 b,HD 40307 b,exact,HD 40307 b
HD 40307 c,HD 40307 c,exact,HD 40307 c
HD 40307 d,HD 40307 d,exact,HD 40307 d
HD 40307 f,HD 40307 f,exact,HD 40307 f
HD 40307 g,HD 40307 g,exact,HD 40307 g
HD 40956 b,HD 40956 b,exact,HD 40956 b
HD 40979 b,HD 40979 b,exact,HD 40979 b
HD 41004 A b,HD 41004 A b,exact,HD 41004 A b
HD 41004 B b,HD 41004 B b,exact,HD 41004 B b
HD 4113 b,HD 4113 b,exact,HD 4113 b
HD 42012 b,HD 42012 b,exact,HD 42012 b
HD 4203 b,HD 4203 b,exact,HD 4203 b
HD 4203 c,HD 4203 c,exact,HD 4203 c
HD 4208 b,HD 4208 b,exact,HD 4208 b
HD 42618 b,HD 42618 b,exact,HD 42618 b
HD 4308 b,HD 4308 b,exact,HD 4308 b
HD 4313 b,HD 4313 b,exact,HD 4313 b
HD 43197 b,HD 43197 b,exact,HD 43197 b
HD 43197 c,HD 43197 c,exact,HD 43197 c
HD 43691 b,HD 43691 b,exact,HD 43691 b
HD 44219 b,HD 44219 b,exact,HD 44219 b
HD 45184 b,HD 45184 b,exact,HD 45184 b
HD 45184 c,HD 45184 c,exact,HD 45184 c
HD 45350 b,HD 45350 b,exact,HD 45350 b
HD 45364 b,HD 45364 b,exact,HD 45364 b
HD 45364 c,HD 45364 c,exact,HD 45364 c
HD 45652 b,HD 45652 b,exact,HD 45652 b
HD 457 b,HD 457 b,exact,HD 457 b
HD 46375 b,HD 46375 b,exact,HD 46375 b
HD 47186 b,HD 47186 b,exact,HD 47186 b
HD 47186 c,HD 47186 c,exact,HD 47186 c
HD 4732 b,HD 4732 b,exact,HD 4732 b
HD 4732 c,HD 4732 c,exact,HD 4732 c
HD 47366 b,HD 47366 b,exact,HD 47366 b
HD 47366 c,HD 47366 c,exact,HD 47366 c
HD 47536 b,HD 47536 b,exact,HD 47536 b
HD 4760 b,HD 4760 b,exact,HD 4760 b
HD 48265 b,HD 48265 b,exact,HD 48265 b
HD 48265 c,HD 48265 c,exact,HD 48265 c
HD 48948 b,HD 48948 b,exact,HD 48948 b
HD 48948 c,HD 48948 c,exact,HD 48948 c
HD 48948 d,HD 48948 d,exact,HD 48948 d
HD 4917 b,HD 4917 b,exact,HD 4917 b
HD 49674 b,HD 49674 b,exact,HD 49674 b
HD 50499 b,HD 50499 b,exact,HD 50499 b
HD 50499 c,HD 50499 c,exact,HD 50499 c
HD 50554 b,HD 50554 b,exact,HD 50554 b
HD 51608 b,HD 51608 b,exact,HD 51608 b
HD 51608 c,HD 51608 c,exact,HD 51608 c
HD 52265 b,HD 52265 b,exact,HD 52265 b
HD 5278 b,HD 5278 b,exact,HD 5278 b
HD 5278 c,HD 5278 c,exact,HD 5278 c
HD 5319 b,HD 5319 b,exact,HD 5319 b
HD 5319 c,HD 5319 c,exact,HD 5319 c
HD 5388 b,HD 5388 b,exact,HD 5388 b
HD 55696 b,HD 55696 b,exact,HD 55696 b
HD 5583 b,HD 5583 b,exact,HD 5583 b
HD 5608 b,HD 5608 b,exact,HD 5608 b
HD 564 b,HD 564 b,exact,HD 564 b
HD 56414 b,HD 56414 b,exact,HD 56414 b
HD 56957 b,HD 56957 b,exact,HD 56957 b
HD 5891 b,HD 5891 b,exact,HD 5891 b
HD 59686 A b,HD 59686 A b,exact,HD 59686 A b
HD 60292 b,HD 60292 b,exact,HD 60292 b
HD 60532 b,HD 60532 b,exact,HD 60532 b
HD 60532 c,HD 60532 c,exact,HD 60532 c
HD 6061 b,HD 6061 b,exact,HD 6061 b
HD 62364 b,HD 62364 b,exact,HD 62364 b
HD 62364 c,HD 62364 c,exact,HD 62364 c
HD 62509 b,beta Gem b,resolved,HD 62509 b
HD 62549 b,HD 62549 b,exact,HD 62549 b
HD 63433 b,HD 63433 b,exact,HD 63433 b
HD 63433 c,HD 63433 c,exact,HD 63433 c
HD 63433 d,HD 63433 d,exact,HD 63433 d
HD 63454 b,HD 63454 b,exact,HD 63454 b
HD 63765 b,HD 63765 b,exact,HD 63765 b
HD 63935 b,HD 63935 b,exact,HD 63935 b
HD 63935 c,HD 63935 c,exact,HD 63935 c
HD 64114 b,HD 64114 b,exact,HD 64114 b
HD 64121 b,HD 64121 b,exact,HD 64121 b
HD 6434 b,HD 6434 b,exact,HD 6434 b
HD 65216 b,HD 65216 b,exact,HD 65216 b
HD 65216 c,HD 65216 c,exact,HD 65216 c
HD 66141 b,HD 66141 b,exact,HD 66141 b
HD 66428 b,HD 66428 b,exact,HD 66428 b
HD 66428 c,HD 66428 c,exact,HD 66428 c
HD 67087 b,HD 67087 b,exact,HD 67087 b
HD 67087 c,HD 67087 c,exact,HD 67087 c
HD 6718 b,HD 6718 b,exact,HD 6718 b
HD 68402 b,HD 68402 b,exact,HD 68402 b
HD 68475 b,HD 68475 b,exact,HD 68475 b
HD 6860 b,HD 6860 b,exact,HD 6860 b
HD 68988 b,HD 68988 b,exact,HD 68988 b
HD 68988 c,HD 68988 c,exact,HD 68988 c
HD 69123 b,HD 69123 b,exact,HD 69123 b
HD 69830 b,HD 69830 b,exact,HD 69830 b
HD 69830 c,HD 69830 c,exact,HD 69830 c
HD 69830 d,HD 69830 d,exact,HD 69830 d
HD 70573 b,HD 70573 b,exact,HD 70573 b
HD 70642 b,HD 70642 b,exact,HD 70642 b
HD 7199 b,HD 7199 b,exact,HD 7199 b
HD 72490 b,HD 72490 b,exact,HD 72490 b
HD 72659 b,HD 72659 b,exact,HD 72659 b
HD 72659 c,HD 72659 c,exact,HD 72659 c
HD 72892 b,HD 72892 b,exact,HD 72892 b
HD 73256 c,HD 73256 c,exact,HD 73256 c
HD 73267 b,HD 73267 b,exact,HD 73267 b
HD 73267 c,HD 73267 c,exact,HD 73267 c
HD 73344 b,HD 73344 b,exact,HD 73344 b
HD 73344 c,HD 73344 c,exact,HD 73344 c
HD 73344 d,HD 73344 d,exact,HD 73344 d
HD 73526 b,HD 73526 b,exact,HD 73526 b
HD 73526 c,HD 73526 c,exact,HD 73526 c
HD 73534 b,HD 73534 b,exact,HD 73534 b
HD 73583 b,HD 73583 b,exact,HD 73583 b
HD 73583 c,HD 73583 c,exact,HD 73583 c
HD 74156 b,HD 74156 b,exact,HD 74156 b
HD 74156 c,HD 74156 c,exact,HD 74156 c
HD 7449 b,HD 7449 b,exact,HD 7449 b
HD 74698 b,HD 74698 b,exact,HD 74698 b
HD 74698 c,HD 74698 c,exact,HD 74698 c
HD 75289 b,HD 75289 b,exact,HD 75289 b
HD 75302 b,HD 75302 b,exact,HD 75302 b
HD 75784 b,HD 75784 b,exact,HD 75784 b
HD 75784 c,HD 75784 c,exact,HD 75784 c
HD 75898 b,HD 75898 b,exact,HD 75898 b
HD 75898 c,HD 75898 c,exact,HD 75898 c
HD 76700 b,HD 76700 b,exact,HD 76700 b
HD 76920 b,HD 76920 b,exact,HD 76920 b
HD 77338 b,HD 77338 b,exact,HD 77338 b
HD 77946 b,HD 77946 b,exact,HD 77946 b
HD 79181 b,HD 79181 b,exact,HD 79181 b
HD 7924 b,HD 7924 b,exact,HD 7924 b
HD 7924 c,HD 7924 c,exact,HD 7924 c
HD 7924 d,HD 7924 d,exact,HD 7924 d
HD 79498 b,HD 79498 b,exact,HD 79498 b
HD 80606 b,HD 80606 b,exact,HD 80606 b
HD 80653 b,HD 80653 b,exact,HD 80653 b
HD 80869 b,HD 80869 b,exact,HD 80869 b
HD 80883 b,HD 80883 b,exact,HD 80883 b
HD 80913 b,HD 80913 b,exact,HD 80913 b
HD 81040 b,HD 81040 b,exact,HD 81040 b
HD 81688 b,HD 81688 b,exact,HD 81688 b
HD 81817 b,HD 81817 b,exact,HD 81817 b
HD 81817 c,HD 81817 c,exact,HD 81817 c
HD 82886 b,HD 82886 b,exact,HD 82886 b
HD 82943 b,HD 82943 b,exact,HD 82943 b
HD 82943 c,HD 82943 c,exact,HD 82943 c
HD 8326 b,HD 8326 b,exact,HD 8326 b
HD 83443 b,HD 83443 b,exact,HD 83443 b
HD 83443 c,HD 83443 c,exact,HD 83443 c
HD 8535 b,HD 8535 b,exact,HD 8535 b
HD 85390 b,HD 85390 b,exact,HD 85390 b
HD 85426 c,HD 85426 c,exact,HD 85426 c
HD 8574 b,HD 8574 b,exact,HD 8574 b
HD 86065 b,HD 86065 b,exact,HD 86065 b
HD 86081 b,HD 86081 b,exact,HD 86081 b
HD 86226 b,HD 86226 b,exact,HD 86226 b
HD 86226 c,,unresolved,
HD 86264 b,HD 86264 b,exact,HD 86264 b
HD 86728 b,HD 86728 b,exact,HD 86728 b
HD 8673 b,HD 8673 b,exact,HD 8673 b
HD 86950 b,HD 86950 b,exact,HD 86950 b
HD 87646 b,HD 87646 b,exact,HD 87646 b
HD 87816 b,HD 87816 b,exact,HD 87816 b
HD 87816 c,HD 87816 c,exact,HD 87816 c
HD 87883 b,HD 87883 b,exact,HD 87883 b
HD 88072 b,HD 88072 b,exact,HD 88072 b
HD 88133 b,HD 88133 b,exact,HD 88133 b
HD 88986 b,HD 88986 b,exact,HD 88986 b
HD 89307 b,HD 89307 b,exact,HD 89307 b
HD 89345 b,HD 89345 b,exact,HD 89345 b
HD 89744 b,HD 89744 b,exact,HD 89744 b
HD 89839 b,HD 89839 b,exact,HD 89839 b
HD 90156 b,HD 90156 b,exact,HD 90156 b
HD 9174 b,HD 9174 b,exact,HD 9174 b
HD 92788 b,HD 92788 b,exact,HD 92788 b
HD 92788 c,HD 92788 c,exact,HD 92788 c
HD 93083 b,HD 93083 b,exact,HD 93083 b
HD 93351 b,HD 93351 b,exact,HD 93351 b
HD 93351 c,HD 93351 c,exact,HD 93351 c
HD 93385 b,HD 93385 b,exact,HD 93385 b
HD 93385 c,HD 93385 c,exact,HD 93385 c
HD 93385 d,HD 93385 d,exact,HD 93385 d
HD 93963 A b,HD 93963 A b,exact,HD 93963 A b
HD 93963 A c,HD 93963 A c,exact,HD 93963 A c
HD 9446 b,HD 9446 b,exact,HD 9446 b
HD 9446 c,HD 9446 c,exact,HD 9446 c
HD 94771 b,HD 94771 b,exact,HD 94771 b
HD 94834 b,HD 94834 b,exact,HD 94834 b
HD 94890 b,HD 94890 b,exact,HD 94890 b
HD 94890 c,HD 94890 c,exact,HD 94890 c
HD 95086 b,HD 95086 b,exact,HD 95086 b
HD 95089 b,HD 95089 b,exact,HD 95089 b
HD 95089 c,HD 95089 c,exact,HD 95089 c
HD 95127 b,HD 95127 b,exact,HD 95127 b
HD 95338 b,HD 95338 b,exact,HD 95338 b
HD 95544 b,HD 95544 b,exact,HD 95544 b
HD 95735 c,HD 95735 c,exact,HD 95735 c
HD 95872 b,HD 95872 b,exact,HD 95872 b
HD 96063 b,HD 96063 b,exact,HD 96063 b
HD 96127 b,HD 96127 b,exact,HD 96127 b
HD 96167 b,HD 96167 b,exact,HD 96167 b
HD 96700 b,HD 96700 b,exact,HD 96700 b
HD 96700 c,HD 96700 c,exact,HD 96700 c
HD 96700 d,HD 96700 d,exact,HD 96700 d
HD 96992 b,HD 96992 b,exact,HD 96992 b
HD 97037 b,HD 97037 b,exact,HD 97037 b
HD 97048 b,HD 97048 b,exact,HD 97048 b
HD 97658 b,HD 97658 b,exact,HD 97658 b
HD 98219 b,HD 98219 b,exact,HD 98219 b
HD 98649 b,HD 98649 b,exact,HD 98649 b
HD 98736 b,HD 98736 b,exact,HD 98736 b
HD 99109 b,HD 99109 b,exact,HD 99109 b
HD 99283 b,HD 99283 b,exact,HD 99283 b
HD 99492 b,HD 99492 b,exact,HD 99492 b
HD 99492 c,HD 99492 c,exact,HD 99492 c
HD 99706 b,HD 99706 b,exact,HD 99706 b
HD 99706 c,HD 99706 c,exact,HD 99706 c
HIP 105854 b,HIP 105854 b,exact,HIP 105854 b
HIP 107772 b,HIP 107772 b,exact,HIP 107772 b
HIP 107773 b,HIP 107773 b,exact,HIP 107773 b
HIP 109384 b,HIP 109384 b,exact,HIP 109384 b
HIP 109600 b,HIP 109600 b,exact,HIP 109600 b
HIP 111909 b,HIP 111909 b,exact,HIP 111909 b
HIP 111909 c,HIP 111909 c,exact,HIP 111909 c
HIP 113103 b,HIP 113103 b,exact,HIP 113103 b
HIP 113103 c,HIP 113103 c,exact,HIP 113103 c
HIP 114933 b,HIP 114933 b,exact,HIP 114933 b
HIP 116454 b,HIP 116454 b,exact,HIP 116454 b
HIP 12961 b,HIP 12961 b,exact,HIP 12961 b
HIP 14810 b,HIP 14810 b,exact,HIP 14810 b
HIP 14810 c,HIP 14810 c,exact,HIP 14810 c
HIP 14810 d,HIP 14810 d,exact,HIP 14810 d
HIP 18606 b,HIP 18606 b,exact,HIP 18606 b
HIP 19976 b,HIP 19976 b,exact,HIP 19976 b
HIP 21152 b,HIP 21152 b,exact,HIP 21152 b
HIP 29442 c,HIP 29442 c,exact,HIP 29442 c
HIP 29442 d,HIP 29442 d,exact,HIP 29442 d
HIP 34222 b,HIP 34222 b,exact,HIP 34222 b
HIP 35173 b,HIP 35173 b,exact,HIP 35173 b
HIP 35965 b,HIP 35965 b,exact,HIP 35965 b
HIP 38594 b,HIP 38594 b,exact,HIP 38594 b
HIP 38594 c,HIP 38594 c,exact,HIP 38594 c
HIP 39017 b,HIP 39017 b,exact,HIP 39017 b
HIP 41378 b,HIP 41378 b,exact,HIP 41378 b
HIP 41378 c,HIP 41378 c,exact,HIP 41378 c
HIP 41378 d,HIP 41378 d,exact,HIP 41378 d
HIP 41378 e,HIP 41378 e,exact,HIP 41378 e
HIP 41378 f,HIP 41378 f,exact,HIP 41378 f
HIP 41378 g,HIP 41378 g,exact,HIP 41378 g
HIP 4845 b,HIP 4845 b,exact,HIP 4845 b
HIP 48714 b,HIP 48714 b,exact,HIP 48714 b
HIP 5158 b,HIP 5158 b,exact,HIP 5158 b
HIP 5158 c,HIP 5158 c,exact,HIP 5158 c
HIP 54373 b,HIP 54373 b,exact,HIP 54373 b
HIP 54373 c,HIP 54373 c,exact,HIP 54373 c
HIP 54515 b,HIP 54515 b,exact,HIP 54515 b
HIP 54597 b,HIP 54597 b,exact,HIP 54597 b
HIP 55507 b,HIP 55507 b,exact,HIP 55507 b
HIP 56640 b,HIP 56640 b,exact,HIP 56640 b
HIP 57274 b,HIP 57274 b,exact,HIP 57274 b
HIP 57274 c,HIP 57274 c,exact,HIP 57274 c
HIP 57274 d,HIP 57274 d,exact,HIP 57274 d
HIP 5763 b,HIP 5763 b,exact,HIP 5763 b
HIP 63242 b,HIP 63242 b,exact,HIP 63242 b
HIP 65 A b,HIP 65 A b,exact,HIP 65 A b
HIP 65407 b,HIP 65407 b,exact,HIP 65407 b
HIP 65407 c,HIP 65407 c,exact,HIP 65407 c
HIP 65426 b,HIP 65426 b,exact,HIP 65426 b
HIP 65891 b,HIP 65891 b,exact,HIP 65891 b
HIP 66074 b,HIP 66074 b,exact,HIP 66074 b
HIP 67522 b,HIP 67522 b,exact,HIP 67522 b
HIP 67522 c,HIP 67522 c,exact,HIP 67522 c
HIP 67537 b,HIP 67537 b,exact,HIP 67537 b
HIP 67851 b,HIP 67851 b,exact,HIP 67851 b
HIP 67851 c,HIP 67851 c,exact,HIP 67851 c
HIP 70849 b,HIP 70849 b,exact,HIP 70849 b
HIP 71135 b,HIP 71135 b,exact,HIP 71135 b
HIP 74890 b,HIP 74890 b,exact,HIP 74890 b
HIP 75092 b,HIP 75092 b,exact,HIP 75092 b
HIP 77900 b,HIP 77900 b,exact,HIP 77900 b
HIP 78530 b,HIP 78530 b,exact,HIP 78530 b
HIP 79098 AB b,HIP 79098 AB b,exact,HIP 79098 AB b
HIP 79431 b,HIP 79431 b,exact,HIP 79431 b
HIP 81208 C b,HIP 81208 C b,exact,HIP 81208 C b
HIP 8152 b,HIP 8152 b,exact,HIP 8152 b
HIP 8152 c,HIP 8152 c,exact,HIP 8152 c
HIP 8541 b,HIP 8541 b,exact,HIP 8541 b
HIP 86221 b,HIP 86221 b,exact,HIP 86221 b
HIP 90988 b,HIP 90988 b,exact,HIP 90988 b
HIP 91258 b,HIP 91258 b,exact,HIP 91258 b
HIP 94235 b,HIP 94235 b,exact,HIP 94235 b
HIP 948 b,HIP 948 b,exact,HIP 948 b
HIP 9618 b,HIP 9618 b,exact,HIP 9618 b
HIP 9618 c,HIP 9618 c,exact,HIP 9618 c
HIP 97166 b,HIP 97166 b,exact,HIP 97166 b
HIP 97166 c,HIP 97166 c,exact,HIP 97166 c
HIP 97233 b,HIP 97233 b,exact,HIP 97233 b
HIP 99770 b,HIP 99770 b,exact,HIP 99770 b
HN Lib b,HN Lib b,exact,HN Lib b
HN Peg b,HN Peg b,exact,HN Peg b
HR 2562 b,HR 2562 b,exact,HR 2562 b
HR 5183 b,HR 5183 b,exact,HR 5183 b
HR 810 b,iota Hor b,resolved,HR 810 b
HR 858 b,HR 858 b,exact,HR 858 b
HR 858 c,HR 858 c,exact,HR 858 c
HR 858 d,HR 858 d,exact,HR 858 d
HR 8799 b,HR 8799 b,exact,HR 8799 b
HR 8799 c,HR 8799 c,exact,HR 8799 c
HR 8799 d,HR 8799 d,exact,HR 8799 d
HR 8799 e,HR 8799 e,exact,HR 8799 e
HS Psc b,HS Psc b,exact,HS Psc b
HU Aqr AB b,HU Aqr AB b,exact,HU Aqr AB b
HU Aqr AB c,HU Aqr AB c,exact,HU Aqr AB c
IC 4651 9122 b,IC 4651 9122 b,exact,IC 4651 9122 b
iot Dra b,iota Dra b,resolved,iot Dra b
iot Dra c,iot Dra c,exact,iot Dra c
IRAS 04125+2902 b,IRAS 04125+2902 b,exact,IRAS 04125+2902 b
ITG 15 b,ITG 15 b,exact,ITG 15 b
K2-10 b,K2-10 b,exact,K2-10 b
K2-100 b,K2-100 b,exact,K2-100 b
K2-101 b,K2-101 b,exact,K2-101 b
K2-102 b,K2-102 b,exact,K2-102 b
K2-104 b,K2-104 b,exact,K2-104 b
K2-105 b,K2-105 b,exact,K2-105 b
K2-107 b,K2-107 b,exact,K2-107 b
K2-108 b,K2-108 b,exact,K2-108 b
K2-11 b,K2-11 b,exact,K2-11 b
K2-110 b,K2-110 b,exact,K2-110 b
K2-111 b,K2-111 b,exact,K2-111 b
K2-111 c,K2-111 c,exact,K2-111 c
K2-113 b,K2-113 b,exact,K2-113 b
K2-114 b,K2-114 b,exact,K2-114 b
K2-115 b,K2-115 b,exact,K2-115 b
K2-116 b,K2-116 b,exact,K2-116 b
K2-117 b,K2-117 b,exact,K2-117 b
K2-117 c,K2-117 c,exact,K2-117 c
K2-118 b,K2-118 b,exact,K2-118 b
K2-119 b,K2-119 b,exact,K2-119 b
K2-12 b,K2-12 b,exact,K2-12 b
K2-121 b,K2-121 b,exact,K2-121 b
K2-122 b,K2-122 b,exact,K2-122 b
K2-123 b,K2-123 b,exact,K2-123 b
K2-124 b,K2-124 b,exact,K2-124 b
K2-125 b,K2-125 b,exact,K2-125 b
K2-126 b,K2-126 b,exact,K2-126 b
K2-127 b,K2-127 b,exact,K2-127 b
K2-128 b,K2-128 b,exact,K2-128 b
K2-129 b,K2-129 b,exact,K2-129 b
K2-13 b,K2-13 b,exact,K2-13 b
K2-130 b,K2-130 b,exact,K2-130 b
K2-131 b,K2-131 b,exact,K2-131 b
K2-132 b,K2-132 b,exact,K2-132 b
K2-133 b,K2-133 b,exact,K2-133 b
K2-133 c,K2-133 c,exact,K2-133 c
K2-133 d,K2-133 d,exact,K2-133 d
K2-133 e,K2-133 e,exact,K2-133 e
K2-136 b,K2-136 b,exact,K2-136 b
K2-136 c,K2-136 c,exact,K2-136 c
K2-136 d,K2-136 d,exact,K2-136 d
K2-137 b,K2-137 b,exact,K2-137 b
K2-138 b,K2-138 b,exact,K2-138 b
K2-138 c,K2-138 c,exact,K2-138 c
K2-138 d,K2-138 d,exact,K2-138 d
K2-138 e,K2-138 e,exact,K2-138 e
K2-138 f,K2-138 f,exact,K2-138 f
K2-138 g,K2-138 g,exact,K2-138 g
K2-139 b,K2-139 b,exact,K2-139 b
K2-14 b,K2-14 b,exact,K2-14 b
K2-140 b,K2-140 b,exact,K2-140 b
K2-141 b,K2-141 b,exact,K2-141 b
K2-141 c,K2-141 c,exact,K2-141 c
K2-146 b,K2-146 b,exact,K2-146 b
K2-146 c,K2-146 c,exact,K2-146 c
K2-147 b,K2-147 b,exact,K2-147 b
K2-148 b,K2-148 b,exact,K2-148 b
K2-148 c,K2-148 c,exact,K2-148 c
K2-148 d,K2-148 d,exact,K2-148 d
K2-149 b,K2-149 b,exact,K2-149 b
K2-15 b,K2-15 b,exact,K2-15 b
K2-150 b,K2-150 b,exact,K2-150 b
K2-151 b,K2-151 b,exact,K2-151 b
K2-152 b,K2-152 b,exact,K2-152 b
K2-153 b,K2-153 b,exact,K2-153 b
K2-154 b,K2-154 b,exact,K2-154 b
K2-154 c,K2-154 c,exact,K2-154 c
K2-155 b,K2-155 b,exact,K2-155 b
K2-155 c,K2-155 c,exact,K2-155 c
K2-155 d,K2-155 d,exact,K2-155 d
K2-156 b,K2-156 b,exact,K2-156 b
K2-157 b,K2-157 b,exact,K2-157 b
K2-157 c,K2-157 c,exact,K2-157 c
K2-157 d,K2-157 d,exact,K2-157 d
K2-158 b,K2-158 b,exact,K2-158 b
K2-158 c,K2-158 c,exact,K2-158 c
K2-159 b,K2-159 b,exact,K2-159 b
K2-16 b,K2-16 b,exact,K2-16 b
K2-16 c,K2-16 c,exact,K2-16 c
K2-160 b,K2-160 b,exact,K2-160 b
K2-161 b,K2-161 b,exact,K2-161 b
K2-162 b,K2-162 b,exact,K2-162 b
K2-163 b,K2-163 b,exact,K2-163 b
K2-164 b,K2-164 b,exact,K2-164 b
K2-165 b,K2-165 b,exact,K2-165 b
K2-165 c,K2-165 c,exact,K2-165 c
K2-165 d,K2-165 d,exact,K2-165 d
K2-166 b,K2-166 b,exact,K2-166 b
K2-167 b,K2-167 b,exact,K2-167 b
K2-168 b,K2-168 b,exact,K2-168 b
K2-169 b,K2-169 b,exact,K2-169 b
K2-17 b,K2-17 b,exact,K2-17 b
K2-170 b,K2-170 b,exact,K2-170 b
K2-170 c,K2-170 c,exact,K2-170 c
K2-171 b,K2-171 b,exact,K2-171 b
K2-172 b,K2-172 b,exact,K2-172 b
K2-172 c,K2-172 c,exact,K2-172 c
K2-173 b,K2-173 b,exact,K2-173 b
K2-174 b,K2-174 b,exact,K2-174 b
K2-175 b,K2-175 b,exact,K2-175 b
K2-176 b,K2-176 b,exact,K2-176 b
K2-177 b,K2-177 b,exact,K2-177 b
K2-178 b,K2-178 b,exact,K2-178 b
K2-179 b,K2-179 b,exact,K2-179 b
K2-18 b,K2-18 b,exact,K2-18 b
K2-18 c,K2-18 c,exact,K2-18 c
K2-180 b,K2-180 b,exact,K2-180 b
K2-181 b,K2-181 b,exact,K2-181 b
K2-182 b,K2-182 b,exact,K2-182 b
K2-183 b,K2-183 b,exact,K2-183 b
K2-183 c,K2-183 c,exact,K2-183 c
K2-183 d,K2-183 d,exact,K2-183 d
K2-184 b,K2-184 b,exact,K2-184 b
K2-185 b,K2-185 b,exact,K2-185 b
K2-185 c,K2-185 c,exact,K2-185 c
K2-186 b,K2-186 b,exact,K2-186 b
K2-187 b,K2-187 b,exact,K2-187 b
K2-187 c,K2-187 c,exact,K2-187 c
K2-187 d,K2-187 d,exact,K2-187 d
K2-187 e,K2-187 e,exact,K2-187 e
K2-188 b,K2-188 b,exact,K2-188 b
K2-188 c,K2-188 c,exact,K2-188 c
K2-189 b,K2-189 b,exact,K2-189 b
K2-189 c,K2-189 c,exact,K2-189 c
K2-19 b,K2-19 b,exact,K2-19 b
K2-19 c,K2-19 c,exact,K2-19 c
K2-19 d,K2-19 d,exact,K2-19 d
K2-190 b,K2-190 b,exact,K2-190 b
K2-190 c,K2-190 c,exact,K2-190 c
K2-191 b,K2-191 b,exact,K2-191 b
K2-192 b,K2-192 b,exact,K2-192 b
K2-193 b,K2-193 b,exact,K2-193 b
K2-194 b,K2-194 b,exact,K2-194 b
K2-195 b,K2-195 b,exact,K2-195 b
K2-195 c,K2-195 c,exact,K2-195 c
K2-196 b,K2-196 b,exact,K2-196 b
K2-197 b,K2-197 b,exact,K2-197 b
K2-198 b,K2-198 b,exact,K2-198 b
K2-198 c,K2-198 c,exact,K2-198 c
K2-198 d,K2-198 d,exact,K2-198 d
K2-199 b,K2-199 b,exact,K2-199 b
K2-199 c,K2-199 c,exact,K2-199 c
K2-200 b,K2-200 b,exact,K2-200 b
K2-201 b,K2-201 b,exact,K2-201 b
K2-201 c,K2-201 c,exact,K2-201 c
K2-2016-BLG-0005L b,K2-2016-BLG-0005L b,exact,K2-2016-BLG-0005L b
K2-202 b,K2-202 b,exact,K2-202 b
K2-203 b,K2-203 b,exact,K2-203 b
K2-204 b,K2-204 b,exact,K2-204 b
K2-205 b,K2-205 b,exact,K2-205 b
K2-206 b,K2-206 b,exact,K2-206 b
K2-207 b,K2-207 b,exact,K2-207 b
K2-208 b,K2-208 b,exact,K2-208 b
K2-209 b,K2-209 b,exact,K2-209 b
K2-21 b,K2-21 b,exact,K2-21 b
K2-21 c,K2-21 c,exact,K2-21 c
K2-210 b,K2-210 b,exact,K2-210 b
K2-211 b,K2-211 b,exact,K2-211 b
K2-212 b,K2-212 b,exact,K2-212 b
K2-213 b,K2-213 b,exact,K2-213 b
K2-214 b,K2-214 b,exact,K2-214 b
K2-215 b,K2-215 b,exact,K2-215 b
K2-216 b,K2-216 b,exact,K2-216 b
K2-217 b,K2-217 b,exact,K2-217 b
K2-218 b,K2-218 b,exact,K2-218 b
K2-219 b,K2-219 b,exact,K2-219 b
K2-219 c,K2-219 c,exact,K2-219 c
K2-219 d,K2-219 d,exact,K2-219 d
K2-22 b,K2-22 b,exact,K2-22 b
K2-220 b,K2-220 b,exact,K2-220 b
K2-221 b,K2-221 b,exact,K2-221 b
K2-222 b,K2-222 b,exact,K2-222 b
K2-223 b,K2-223 b,exact,K2-223 b
K2-223 c,K2-223 c,exact,K2-223 c
K2-224 b,K2-224 b,exact,K2-224 b
K2-224 c,K2-224 c,exact,K2-224 c
K2-225 b,K2-225 b,exact,K2-225 b
K2-226 b,K2-226 b,exact,K2-226 b
K2-227 b,K2-227 b,exact,K2-227 b
K2-228 b,K2-228 b,exact,K2-228 b
K2-229 b,K2-229 b,exact,K2-229 b
K2-229 c,K2-229 c,exact,K2-229 c
K2-230 b,K2-230 b,exact,K2-230 b
